,natural_flow_trend_index,pay_flow_trend_index,UV_VALUE,COMMENT_CNT,date_time,INCR_FANS_CNT,LEAVE_UCNT,FANS_CLUB_UCNT,PAY_ORDER_GMV,ONLINE_USER_CNT,WATCH_UCNT,PAY_CNT,PAY_UCNT
0,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 0, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 0, '关注': 0}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,0,2019-12-02 08:12:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 1, '搜索': 0, '个人主页&店铺&橱窗': 1, '其他': 1, '头条西瓜': 0, '活动页': 0, '全部自然流量': 7, '关注': 4}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,9,2019-12-02 08:13:00,0.0,10.0,0.0,0.0,11,19.0,0.0,0.0
2,"{'短视频引流': 1, '抖音商城推荐': 0, '直播推荐': 8, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 1, '头条西瓜': 0, '活动页': 0, '全部自然流量': 14, '关注': 4}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,9,2019-12-02 08:14:00,0.0,22.0,0.0,0.0,15,23.0,0.0,0.0
3,"{'短视频引流': 1, '抖音商城推荐': 0, '直播推荐': 10, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 14, '关注': 3}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,7,2019-12-02 08:15:00,0.0,7.0,0.0,0.0,14,8.0,0.0,0.0
4,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 3, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 1, '头条西瓜': 0, '活动页': 0, '全部自然流量': 10, '关注': 6}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,15,2019-12-02 08:16:00,0.0,12.0,0.0,0.0,17,14.0,0.0,0.0
5,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 1, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 9, '关注': 8}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,11,2019-12-02 08:17:00,0.0,7.0,0.0,0.0,17,10.0,0.0,0.0
6,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 8, '搜索': 1, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 15, '关注': 6}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,5,2019-12-02 08:18:00,0.0,16.0,1.0,0.0,22,13.0,0.0,0.0
7,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 9, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 3, '头条西瓜': 0, '活动页': 0, '全部自然流量': 14, '关注': 2}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,17,2019-12-02 08:19:00,0.0,19.0,0.0,0.0,28,31.0,0.0,0.0
8,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 15, '搜索': 0, '个人主页&店铺&橱窗': 1, '其他': 2, '头条西瓜': 0, '活动页': 0, '全部自然流量': 25, '关注': 7}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,11,2019-12-02 08:20:00,0.0,21.0,2.0,0.0,31,22.0,0.0,0.0
9,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 10, '搜索': 3, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 24, '关注': 11}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,8,2019-12-02 08:21:00,0.0,20.0,2.0,0.0,37,28.0,0.0,0.0
10,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 13, '搜索': 1, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 23, '关注': 9}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,6,2019-12-02 08:22:00,4.0,18.0,0.0,0.0,41,22.0,0.0,0.0
11,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 13, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 1, '头条西瓜': 0, '活动页': 0, '全部自然流量': 24, '关注': 10}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,10,2019-12-02 08:23:00,0.0,21.0,1.0,0.0,49,22.0,0.0,0.0
12,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 10, '搜索': 1, '个人主页&店铺&橱窗': 0, '其他': 1, '头条西瓜': 0, '活动页': 0, '全部自然流量': 24, '关注': 12}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,23,2019-12-02 08:24:00,1.0,13.0,2.0,0.0,52,20.0,0.0,0.0
13,"{'短视频引流': 1, '抖音商城推荐': 0, '直播推荐': 14, '搜索': 1, '个人主页&店铺&橱窗': 1, '其他': 2, '头条西瓜': 0, '活动页': 0, '全部自然流量': 25, '关注': 6}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,100,2019-12-02 08:25:00,0.0,20.0,0.0,0.0,56,23.0,0.0,0.0
14,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 10, '搜索': 2, '个人主页&店铺&橱窗': 0, '其他': 2, '头条西瓜': 0, '活动页': 0, '全部自然流量': 20, '关注': 6}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,71,2019-12-02 08:26:00,1.0,12.0,0.0,0.0,65,21.0,0.0,0.0
15,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 11, '搜索': 0, '个人主页&店铺&橱窗': 1, '其他': 4, '头条西瓜': 0, '活动页': 0, '全部自然流量': 21, '关注': 5}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,11,2019-12-02 08:27:00,0.0,23.0,0.0,0.0,71,26.0,0.0,0.0
16,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 15, '搜索': 0, '个人主页&店铺&橱窗': 1, '其他': 2, '头条西瓜': 0, '活动页': 1, '全部自然流量': 30, '关注': 11}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,9,2019-12-02 08:28:00,1.0,15.0,0.0,0.0,75,24.0,0.0,0.0
17,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 7, '搜索': 1, '个人主页&店铺&橱窗': 1, '其他': 1, '头条西瓜': 0, '活动页': 1, '全部自然流量': 24, '关注': 13}","{'千川PC版': 1, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 1, '品牌广告': 0, '小店随心推': 0}",0.0,16,2019-12-02 08:29:00,0.0,19.0,2.0,0.0,88,30.0,0.0,0.0
